Station_ID,City,State,Latitude,Longitude,Charger_Type,Capacity_KW,Cost_Per_Unit,Status
KA-BAN-0001,Bangalore,Karnataka,12.986977781567617,77.61577270989055,AC Slow,7.2,12.4,Operational
KA-BEL-0002,Belgaum,Karnataka,15.85599653109824,74.55950709149893,AC Slow,3.3,16.82,Operational
KA-BEL-0003,Belgaum,Karnataka,15.67978377614419,74.41366341279296,Hybrid,11.0,27.96,Operational
KA-MYS-0004,Mysore,Karnataka,12.190588397903822,76.6651269802323,DC Fast,25.0,25.43,Operational
KA-BAN-0005,Bangalore,Karnataka,12.940210560745259,77.67433162711622,AC Slow,11.0,17.74,Operational
KA-BAN-0006,Bangalore,Karnataka,13.130565643508826,77.49151579550345,Hybrid,11.0,25.71,Operational
KA-MAN-0007,Mangalore,Karnataka,12.829577789094635,74.67725186749563,AC Slow,7.2,21.93,Operational
KA-MYS-0008,Mysore,Karnataka,12.326485167896744,76.6177571577084,DC Fast,50.0,21.67,Operational
KA-BEL-0009,Belgaum,Karnataka,15.828067756441458,74.50127105341484,DC Fast,60.0,24.51,Operational
KA-HUB-0010,Hubli,Karnataka,15.246829771382059,75.17558113559033,AC Slow,3.3,13.16,Operational
KA-MYS-0011,Mysore,Karnataka,12.301517123050319,76.61073164921886,AC Slow,3.3,19.59,Operational
KA-HUB-0012,Hubli,Karnataka,15.459945223380148,75.15795820008621,AC Slow,3.3,13.03,Operational
KA-BAN-0013,Bangalore,Karnataka,13.244462269998795,77.48694501012129,AC Slow,7.2,14.35,Operational
KA-HUB-0014,Hubli,Karnataka,15.476054458036737,75.18154687686764,AC Slow,3.3,20.24,Operational
KA-BAN-0015,Bangalore,Karnataka,12.965176475273026,77.54655252560958,AC Slow,3.3,15.03,Operational
KA-BAN-0016,Bangalore,Karnataka,12.999716105919946,77.59485379917821,AC Slow,7.2,17.48,Operational
KA-MAN-0017,Mangalore,Karnataka,12.901770895839704,74.84288916962015,AC Slow,11.0,16.86,Operational
KA-BEL-0018,Belgaum,Karnataka,15.74404370287348,74.38005044113973,DC Fast,25.0,18.15,Operational
KA-BAN-0019,Bangalore,Karnataka,12.970765763584083,77.63593292974606,AC Slow,7.2,20.96,Operational
KA-BAN-0020,Bangalore,Karnataka,13.08317281725259,77.35007989718477,AC Slow,11.0,17.34,Operational
KA-MAN-0021,Mangalore,Karnataka,12.882604052865144,74.8596497767149,DC Fast,150.0,22.63,Operational
KA-BEL-0022,Belgaum,Karnataka,15.665621547998617,74.27492857892106,AC Slow,7.2,19.41,Operational
KA-MYS-0023,Mysore,Karnataka,12.335361349205977,76.8676474763909,AC Slow,11.0,21.25,Operational
KA-BAN-0024,Bangalore,Karnataka,12.61202985405994,77.79777909057871,AC Slow,11.0,13.21,Operational
KA-BEL-0025,Belgaum,Karnataka,15.83950248380593,74.50703134630665,DC Fast,150.0,25.52,Operational
KA-BEL-0026,Belgaum,Karnataka,15.850516444258192,74.4956566568317,AC Slow,3.3,17.48,Operational
KA-BAN-0027,Bangalore,Karnataka,13.158641468935313,77.65341004119612,AC Slow,11.0,16.27,Operational
KA-MYS-0028,Mysore,Karnataka,12.35015523374898,76.56003741587968,Hybrid,11.0,27.01,Operational
KA-BAN-0029,Bangalore,Karnataka,13.163634334811606,77.83577264897569,AC Slow,7.2,18.99,Operational
KA-BAN-0030,Bangalore,Karnataka,12.941402007550264,77.57313600347197,AC Slow,3.3,15.53,Operational
KA-BAN-0031,Bangalore,Karnataka,12.938182458184144,77.71466195350011,DC Fast,25.0,26.9,Operational
KA-BEL-0032,Belgaum,Karnataka,15.844699998331949,74.51237629345792,AC Slow,11.0,19.1,Operational
KA-MYS-0033,Mysore,Karnataka,12.156778470384415,76.69393694553159,DC Fast,25.0,23.07,Operational
KA-BEL-0034,Belgaum,Karnataka,15.775322950193814,74.51489108441558,AC Slow,11.0,12.94,Operational
KA-BAN-0035,Bangalore,Karnataka,12.881170350778634,77.42110643754896,AC Slow,3.3,20.54,Operational
KA-BAN-0036,Bangalore,Karnataka,12.779276900984652,77.50631607149981,AC Slow,7.2,14.71,Operational
KA-MYS-0037,Mysore,Karnataka,12.329009540255898,76.63939229664946,AC Slow,11.0,14.23,Operational
KA-HUB-0038,Hubli,Karnataka,15.437364591484277,75.16969626658093,AC Slow,11.0,15.27,Operational
KA-BEL-0039,Belgaum,Karnataka,15.827903831022837,74.50163678425389,DC Fast,25.0,24.12,Operational
KA-BAN-0040,Bangalore,Karnataka,12.914066882187948,77.51367113843078,AC Slow,11.0,12.73,Operational
KA-BEL-0041,Belgaum,Karnataka,15.783037611311254,74.43636403962957,AC Slow,3.3,16.3,Operational
